order_yearmonth,pedidos,faturamento,ticket_medio,avaliacao_media,entrega_no_prazo_pct
2016-10,265,46566.71,175.72,4.01,98.9
2016-12,1,19.62,19.62,5.0,100.0
2017-01,750,127545.67,170.06,4.2,96.9
2017-02,1653,271298.65,164.13,4.2,96.8
2017-03,2546,414369.39,162.75,4.19,94.4
2017-04,2303,390952.18,169.76,4.14,92.1
2017-05,3546,567066.73,159.92,4.24,96.4
2017-06,3135,490225.6,156.37,4.22,96.1
2017-07,3872,566403.93,146.28,4.26,96.6
2017-08,4193,646000.61,154.07,4.31,96.7
2017-09,4150,701169.99,168.96,4.27,94.8
2017-10,4478,751140.27,167.74,4.21,94.7
2017-11,7289,1153528.05,158.26,3.99,85.7
2017-12,5513,843199.17,152.95,4.09,91.6
2018-01,7069,1078606.86,152.58,4.11,93.4
2018-02,6555,966510.88,147.45,3.88,84.0
2018-03,7003,1120678.0,160.03,3.81,78.6
2018-04,6798,1132933.95,166.66,4.21,94.7
2018-05,6749,1128836.69,167.26,4.24,91.8
2018-06,6099,1012090.68,165.94,4.31,98.6
2018-07,6159,1027903.86,166.89,4.32,95.5
